id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,business_hours,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,attributes.business_temp_closed,attributes.menu_url,attributes.open24_hours,attributes.waitlist_reservation
hdiuRS9sVZSMReZm4oV5SA,da-andrea-greenwich-village-new-york-2,Da Andrea - Greenwich Village,https://s3-media1.fl.yelpcdn.com/bphoto/OciLddTWxvBLKMH5DkMAOw/o.jpg,False,https://www.yelp.com/biz/da-andrea-greenwich-village-new-york-2?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,2434,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.4,"['restaurant_reservation', 'delivery', 'pickup']",$$,+12123671979,(212) 367-1979,3427.506892736057,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.736287,-73.995865,35 W 13th St,,,New York,10011,US,NY,"['35 W 13th St', 'New York, NY 10011']",,https://www.daandreanyc.com/menu,,True
16ZnHpuaaBt92XWeJHCC5A,olio-e-più-new-york-7,Olio e Più,https://s3-media4.fl.yelpcdn.com/bphoto/CUpPgz_Q4QBHxxxxDJJTTA/o.jpg,False,https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,6084,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['delivery', 'pickup']",$$,+12122436546,(212) 243-6546,3218.2493722035083,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.73406231935954,-73.99999980859876,3 Greenwich Ave,,,New York,10014,US,NY,"['3 Greenwich Ave', 'New York, NY 10014']",,https://www.olioepiu.com/nyc-menu/,,
DGhWO1sUWydVeR5j5ZZaMw,la-grande-boucherie-new-york-2,La Grande Boucherie,https://s3-media3.fl.yelpcdn.com/bphoto/b9URGcuuhnLq7J-__pHIng/o.jpg,False,https://www.yelp.com/biz/la-grande-boucherie-new-york-2?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,3542,"[{'alias': 'french', 'title': 'French'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.4,"['delivery', 'pickup']",$$$,+12125107714,(212) 510-7714,6458.633757596852,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7626274,-73.98084109999999,145 W 53rd St,,,New York,10019,US,NY,"['145 W 53rd St', 'New York, NY 10019']",,https://www.boucherieus.com/la-grande-boucherie-menus/,,
zRXMvxUX_rOliKZPpkWi_g,valerie-new-york,Valerie,https://s3-media3.fl.yelpcdn.com/bphoto/mnH5QFkSMzZgd6P5eSZvvw/o.jpg,False,https://www.yelp.com/biz/valerie-new-york?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,1065,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.3,['delivery'],$$,+12123024545,(212) 302-4545,5769.456784305475,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '1130', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1130', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1130', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1130', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.756326,-73.981117,45 W 45th St between 5th & 6th Ave,,,New York,10036,US,NY,"['45 W 45th St between 5th & 6th Ave', 'New York, NY 10036']",,https://www.valerienewyorkcity.com/menus/,,
-XYp6w50XbZfS90YddS5ew,soothr-new-york-2,Soothr,https://s3-media1.fl.yelpcdn.com/bphoto/pTdTkLH7kPsZrYO9-Emlag/o.jpg,False,https://www.yelp.com/biz/soothr-new-york-2?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,1482,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['delivery', 'pickup']",$$,+12128449789,(212) 844-9789,3043.263183253491,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '1530', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '1530', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '1530', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '1530', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '1530', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1530', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1530', 'day': 6}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.732259,-73.987363,204 E 13th St,,,New York,10003,US,NY,"['204 E 13th St', 'New York, NY 10003']",,,,
jAaVnUKLITkuhzwXIe0vLQ,cafe-mogador-brooklyn,Cafe Mogador,https://s3-media3.fl.yelpcdn.com/bphoto/IzDmxBEB1Hr05KYWLXAQVA/o.jpg,False,https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,1518,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.4,"['delivery', 'pickup']",$$$,+17184869222,(718) 486-9222,3299.5306167935732,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.719747,-73.959993,133 Wythe Ave,,,Brooklyn,11211,US,NY,"['133 Wythe Ave', 'Brooklyn, NY 11211']",,https://static1.squarespace.com/static/571da513c2ea511fcc0e4e6e/t/5fef6901dac66e1e16b292a6/1609525505904/Final+Menu+*-+Food+%2B+Drinks+%281%29.pdf,,True
fVbUVAiLiGgLA_nxBFxyww,thursday-kitchen-new-york,Thursday Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/iCP4QYCjWf9i-qDIBQrsnQ/o.jpg,False,https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,1829,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.4,"['delivery', 'pickup']",$$,,,2613.6743720268455,"[{'open': [{'is_overnight': False, 'start': '1800', 'end': '2215', 'day': 0}, {'is_overnight': False, 'start': '1800', 'end': '2215', 'day': 1}, {'is_overnight': False, 'start': '1800', 'end': '2215', 'day': 2}, {'is_overnight': False, 'start': '1800', 'end': '2215', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2315', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2315', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2215', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",40.72761,-73.98373,424 E 9th St,,,New York,10009,US,NY,"['424 E 9th St', 'New York, NY 10009']",,https://www.thursdaykitchen.com/menu,,
qEe7nIhPfEL6L0-VYhWRrA,raku-new-york-6,Raku,https://s3-media1.fl.yelpcdn.com/bphoto/n1Ij-r1JkpHmoRgL-1E_FA/o.jpg,False,https://www.yelp.com/biz/raku-new-york-6?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,1051,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"['delivery', 'pickup']",$$,+12129894797,(212) 989-4797,2522.0333124040876,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7272479,-74.00253944171621,48 Macdougal St,,,New York,10012,US,NY,"['48 Macdougal St', 'New York, NY 10012']",,https://rakunyc.com/pages/menu-soho,,False
cJ837cA4SILruB3ArOZiSw,bourbon-and-branch-new-york-city,Bourbon and Branch,https://s3-media4.fl.yelpcdn.com/bphoto/fcnNvy1CzDpKFcSO5rApJg/o.jpg,False,https://www.yelp.com/biz/bourbon-and-branch-new-york-city?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,141,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'tradamerican', 'title': 'American'}]",4.5,[],,+19294194951,(929) 419-4951,4998.291902485462,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0000', 'end': '0100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0000', 'end': '0200', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0000', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0000', 'end': '0200', 'day': 6}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.75030160000001,-73.9904585,155 W 33rd St,,,New York,10001,US,NY,"['155 W 33rd St', 'New York, NY 10001']",,,,
dEOv8_ivdHp85OK_TDQh_g,da-andrea-chelsea-new-york-3,Da Andrea - Chelsea,https://s3-media1.fl.yelpcdn.com/bphoto/8P1kzXbIAmQU3Qy4wN0dLg/o.jpg,False,https://www.yelp.com/biz/da-andrea-chelsea-new-york-3?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,339,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.7,"['restaurant_reservation', 'delivery', 'pickup']",$$$,+12123545971,(212) 354-5971,4101.107170047979,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.742041,-74.000467,160 8th Ave,,,New York,10011,US,NY,"['160 8th Ave', 'New York, NY 10011']",,https://daandreanyc.com/chelsea/,,True
MGd6HFEq1ALD58XWNviSXw,time-out-market-new-york-brooklyn,Time Out Market New York,https://s3-media3.fl.yelpcdn.com/bphoto/Y41f8m_DRebv3tE21WYTYg/o.jpg,False,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,607,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.0,[],$$,+19178104855,(917) 810-4855,288.11900780114274,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.70342863348067,-73.99214637055226,55 Water St,,,Brooklyn,11201,US,NY,"['55 Water St', 'Brooklyn, NY 11201']",,,,
DEp-9JVnKN7eTb9A_mUlfA,zou-zou-s-new-york-3,Zou Zou’s,https://s3-media1.fl.yelpcdn.com/bphoto/JFsmaq8GfDlzJJecw_bLHw/o.jpg,False,https://www.yelp.com/biz/zou-zou-s-new-york-3?adjust_creative=l5Jc3jAH5zjED2xH-zgZMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=l5Jc3jAH5zjED2xH-zgZMg,430,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'New American'}]",4.2,[],$$$,+12123808585,(212) 380-8585,5294.518143442684,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 6}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.75294111375021,-73.99872428597398,385 9th Ave,Ste 85,,New York,10001,US,NY,"['385 9th Ave', 'Ste 85', 'New York, NY 10001']",,https://www.zouzousnyc.com/menus/,,
